Id,Name,Priority,Domains,Countries,Country,Categories,EPC,Average_Commission_Rate,Average_Basket_Size,Average_Conversion_Rate,Special_Rate_Type
65452,www.naio-nails.co.uk,3,naio-nails.co.uk,"Norway, Canada, Finland, Ireland, Germany, United States, France, United Kingdom",US,Multi-Category Retailers,0.276898683,0.0474537,5.577751186,1.04615,none
63709,OnCourse Learning,8,oncourselearning.com,United States,US,Technology,1.718036241,0.10962,15.97114903,0.981308,preferred
71187,ThriftBooks,7,thriftbooks.com,"Thailand, Finland, Trinidad & Tobago, Israel, Mexico, United States, India, Canada, United Kingdom, Puerto Rico, Switzerland, Philippines, Slovenia, Brazil, Germany, Italy, Czech Republic, Viet Nam, Australia, United Arab Emirates, Korea, Republic of, Spain, Denmark, Malta, Ireland, Portugal, Costa Rica, Japan, Romania, Guam, Netherlands, Sweden, Singapore, Belgium, Poland, Colombia, Ecuador, Greece, France, Bulgaria, New Zealand",US,Multi-Category Retailers,0.163119648,0.03,6.13232998,0.886666,none
49290,Plasticboxshop,5,plasticboxshop.co.uk,"United States, India, United Kingdom",US,Multi-Category Retailers,0.170301964,0.0488539,6.173343203,0.564676,none
72277,Binoid CBD,8,binoidcbd.com,United States,US,Health Foods Vitamins,5.456241424,0.200014,63.95497177,0.42654,none
65997,Buyback Boss,2,buybackboss.com,United States,US,"Consumer Electronics/Gadgets, Computers",1.218157435,0.0350612,91.85326019,0.378254,none
3063,ParcelHero,10,parcelhero.com,"United States, United Kingdom",US,"Shipping and Delivery, Business",0.311107359,0.0150025,56.00334938,0.370283,none
62640,Aeroflow Healthcare,7,aeroflowbreastpumps.com,United States,US,"Fashion & Accessories, Uniforms and Work Apparel, Sportswear, Women's Fashion",0.296201377,0.174793,5.338462275,0.317429,none
49254,www.ilovewallpaper.co.uk,4,ilovewallpaper.co.uk,"United States, United Kingdom, Spain, Germany",US,"DIY Home Improvement, Multi-Category Retailers, Home",0.157515488,0.0361219,14.25177118,0.305973,none
5681,Quill,8,quill.com,"Marshall Islands, United States Virgin Islands, Northern Mariana Islands, Palau, American Samoa, United States, Micronesia, Guam, Puerto Rico",US,"Business, Office Supplies Stationery",0.578407653,0.0219508,86.27769794,0.30541,none
72783,Pinnacle Hemp,7,pinnaclehemp.com,United States,US,Health Foods Vitamins,3.708066054,0.199996,70.30019392,0.263736,none
50465,Brightech,4,brightechshop.com,United States,US,"Computers, Flowers, Gifts, Computer and Laptop Accessories, Home",1.467802626,0.070016,81.47756216,0.257294,none
12740,FamZoo,6,famzoo.com,United States,US,"Personal Finance, Interests",0.42064738,0.252627,6.541909086,0.254527,none
75393,143vinyl.com,9,143vinyl.com,United States,US,Gifts,0.86731962,0.0500051,69.57607811,0.24929,none
72808,EveryDrop,5,everydropwater.com,United States,US,,0.658332244,0.0499922,54.6866896,0.240803,none
74645,What Waist,7,whatwaist.com,United States,US,Fashion & Accessories,1.728533743,0.100009,72.33096628,0.238953,none
73425,Sleep Cycle (US),7,sleepcycle.com,"Netherlands, Australia, United States, United Kingdom, Canada",US,,0.144352421,0.216936,2.789934758,0.238505,none
71332,Stix,4,getstix.com,United States,US,Health Foods Vitamins,0.654296825,0.1439,19.21431226,0.236641,none
73784,CLEAN Cause,9,cleancause.com,United States,US,Food & Drink,0.339715405,0.0299948,48.4493846,0.233766,none
67905,luxunfiltered,3,luxunfiltered.com,"United States, Canada",US,Health Foods Vitamins,1.180239328,0.1,51.00056003,0.231417,none
73941,Southern Fried Chics,3,southernfriedchics.com,United States,US,,1.462059598,0.1,63.29664188,0.230986,none
66504,iCLOTHING,2,iclothing.com,"Australia, United Arab Emirates, Slovakia, Finland, Latvia, Denmark, Malta, Ireland, Portugal, New Zealand, Romania, United States, Austria, Cyprus, Canada, United Kingdom, Netherlands, Belgium, Poland, Greece, Luxembourg, Germany, Italy, Czech Republic, Lithuania, Bulgaria, Hungary, Estonia",US,,0.500102408,0.0600003,36.70806983,0.227062,none
7865,"USAMM, LLC",6,"usamm.com, usamilitarymedals.com",United States,US,"Fashion & Accessories, Gender - Male, Uniforms and Work Apparel",1.611366557,0.11,67.88376781,0.215792,none
71025,Food Lion,8,"togo.foodlion.com, foodlion.com",United States,US,,0.138911843,0.00470324,139.7285774,0.211376,none
